OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,ATTRIBUTES,MATH FIDELITY,CORE COUNT,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE KERNEL DURATION PER CORE MIN [ns],DEVICE KERNEL DURATION PER CORE MAX [ns],DEVICE KERNEL DURATION PER CORE AVG [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,INPUT_2_W,INPUT_2_Z,INPUT_2_Y,INPUT_2_X,INPUT_2_LAYOUT,INPUT_2_DATATYPE,INPUT_2_MEMORY,OUTPUT_0_W,OUTPUT_0_Z,OUTPUT_0_Y,OUTPUT_0_X,OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,BRISC MAX KERNEL SIZE [B],NCRISC MAX KERNEL SIZE [B],TRISC 0 MAX KERNEL SIZE [B],TRISC 1 MAX KERNEL SIZE [B],TRISC 2 MAX KERNEL SIZE [B],ERISC MAX KERNEL SIZE [B],PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,CompileProgram_TT_HOST_FUNC [ns],HWCommandQueue_write_buffer_TT_HOST_FUNC [ns]
Pad,tt_dnn_device,1,0,{'input_tensor_start': 'Shape([0; 0; 3; 0])'; 'output_logical_shape': 'Shape([16; 4; 256; 224])'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 224};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'output_padded_shape': 'Shape([16; 4; 256; 224])'; 'pad_value': '0'; 'use_multicore': 'false'},,64,,5891416660,6209698030,318281370,11809196546935,11809196557468,0,14082,12460,6010,9164,6800,286,12400,5253,,,,,,,16,3,224,224,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,4,256,224,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/pad/device/kernels/dataflow/reader_pad_dims_rm_sharded.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/pad/device/kernels/dataflow/writer_pad_dims_rm_sharded.cpp'],['reader_pad_dims_rm_sharded/16003768081584307816/'; 'writer_pad_dims_rm_sharded/777912176707420747/'],704,1096,0,0,0,0,1,1,1,[4816896.0],[7340032.0],315891844,19899
Transpose,tt_dnn_device,2,0,{'dim': 'TransposeOpDim::WH'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 224};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_value': '0'},HiFi4,64,,6209792992,6741855885,532062893,11809720955224,11809720968438,701067575,17666,16552,11993,12250,12115,1345,406,8201,14560,15057,15709,,,,16,4,256,224,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,4,224,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/compute/transpose_wh_rm.cpp'],['transpose_wh_rm/8191961343035905388/'],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_wh_sharded_rm.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_wh_sharded_rm.cpp'],['reader_unary_transpose_wh_sharded_rm/3289472369719674291/'; 'writer_unary_transpose_wh_sharded_rm/7254106691709325529/'],328,736,1816,1640,4636,0,1,1,1,[7340032.0],[7340032.0],530556175,24766
Pad,tt_dnn_device,3,0,{'input_tensor_start': 'Shape([0; 0; 3; 0])'; 'output_logical_shape': 'Shape([16; 4; 256; 256])'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 256};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'output_padded_shape': 'Shape([16; 4; 256; 256])'; 'pad_value': '0'; 'use_multicore': 'false'},,64,,6741973203,7064727555,322754352,11810039237731,11810039245136,425495377,9900,8274,6011,6028,6017,279,8214,6549,,,,,,,16,4,224,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,4,256,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/pad/device/kernels/dataflow/reader_pad_dims_rm_sharded.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/pad/device/kernels/dataflow/writer_pad_dims_rm_sharded.cpp'],['reader_pad_dims_rm_sharded/17702842367774055297/'; 'writer_pad_dims_rm_sharded/7334787578824831274/'],704,1080,0,0,0,0,1,1,1,[7340032.0],[8388608.0],316393051,18230
Transpose,tt_dnn_device,4,0,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 256};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_value': '0'},,64,,7064814644,7390415300,325600656,11810360149730,11810360163106,429018464,17882,16258,9500,12134,11045,287,16197,15064,,,,,,,16,4,256,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,256,4,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_sharded_rm.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_sharded_rm.cpp'],['reader_unary_transpose_hc_sharded_rm/3814276544918290226/'; 'writer_unary_transpose_hc_sharded_rm/15028060472692034305/'],916,956,0,0,0,0,1,1,1,[8388608.0],[8388608.0],321646695,21276
Transpose,tt_dnn_device,5,0,{'dim': 'TransposeOpDim::WH'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 256};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_value': '0'},HiFi4,64,,7390548852,7916962599,526413747,11810879030143,11810879088540,693673592,78071,76947,57210,57471,57347,1274,337,70082,75401,76237,76246,,,,16,128,8,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,128,256,8,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/compute/transpose_wh_rm.cpp'],['transpose_wh_rm/14846497584255837277/'],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_wh_sharded_rm.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_wh_sharded_rm.cpp'],['reader_unary_transpose_wh_sharded_rm/615315334131910440/'; 'writer_unary_transpose_wh_sharded_rm/1603987952362007287/'],328,724,1816,1940,4336,0,1,1,1,[8388608.0],[8388608.0],524967869,21917
Transpose,tt_dnn_device,6,0,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={4096; 16};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_value': '0'},,64,,7917105298,8268434392,351329094,11811225401871,11811225448546,462987410,62400,60767,40206,45405,41728,291,60710,57086,,,,,,,16,128,128,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,128,128,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_sharded_rm.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_sharded_rm.cpp'],['reader_unary_transpose_hc_sharded_rm/2130137436304660758/'; 'writer_unary_transpose_hc_sharded_rm/17610091786382554252/'],916,956,0,0,0,0,1,1,1,[8388608.0],[8388608.0],327449110,22015
SliceDeviceOperation,tt_dnn_device,7,0,{'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={3328; 16};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'slice_end': 'Shape([16; 115; 115; 16])'; 'slice_start': 'Shape([0; 0; 0; 0])'; 'step': 'Shape([1; 1; 1; 1])'},,64,,8268556456,8611645457,343089001,11811563788272,11811563799001,452327493,14344,12659,2392,9291,5552,262,,12659,,,,,,,16,128,128,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,115,115,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/slice/device/kernels/dataflow/slice_reader_unary_unpad_dims_rm_sharded.cpp'],['slice_reader_unary_unpad_dims_rm_sharded/17611977444194818733/'],0,1056,0,0,0,0,1,1,1,[8388608.0],[6771200.0],320724457,38754
HaloDeviceOperation,tt_dnn_device,8,0,{'config_': 'SlidingWindowConfig(batch_size=16; input_hw=(115;115); window_hw=(4;4); stride_hw=(1;1); pad_hw=(0;0); dilation_hw=(1;1); num_cores_nhw=64; num_cores_c=1; core_range_set_={[(x=0;y=0) - (x=7;y=7)]})'; 'is_out_tiled_': 'true'; 'max_out_nsticks_per_core_': '3565'; 'output_memory_config_': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={3328; 16};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_val_': '0'; 'parallel_config_': 'ParallelConfig(grid={[(x=0;y=0) - (x=7;y=7)]}; shard_scheme=HEIGHT_SHARDED; shard_orientation=ROW_MAJOR)'; 'remote_read_': 'false'; 'reshard_num_cores_nhw_': '0'; 'transpose_mcast_': 'false'},,64,,8619238368,8978533871,359295503,11811925079507,11811925094614,482997033,20197,18488,2530,13671,6155,328,5956,18488,,,,,,,1,1,211600,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,1,1,228160,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/untilize_with_halo_v2/device/kernels/dataflow/halo_gather.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/untilize_with_halo_v2/device/kernels/dataflow/halo_gather.cpp'],['halo_gather/3240652492820075695/'; 'halo_gather/12266856119943731943/'],1056,1328,0,0,0,0,1,1,1,[6771200.0],[7301120.0],340829595,288756
OptimizedConvNew,tt_dnn_device,9,0,{'block_config': 'OptimizedConvBlockConfig(act_block_h_ntiles=49;act_block_w_ntiles=2;out_subblock_h_ntiles=1;out_subblock_w_ntiles=2)'; 'compute_kernel_config': 'WormholeComputeKernelConfig(math_fidelity=LoFi;math_approx_mode=1;fp32_dest_acc_en=0;packer_l1_acc=1;dst_full_sync_en=0)'; 'dtype': 'DataType::BFLOAT8_B'; 'enable_act_double_buffer': 'true'; 'enable_split_reader': 'true'; 'enable_subblock_padding': 'false'; 'enable_weights_double_buffer': 'false'; 'fuse_relu': 'true'; 'has_bias': 'true'; 'input_tensor_shape': '{16; 115; 115; 16}'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={3136; 64};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'output_channels': '64'; 'parallelization_config': 'OptimizedConvParallelizationConfig(grid_size=(x=8;y=8);num_cores_nhw=64;num_cores_c=1;per_core_out_matrix_height_ntile=98;per_core_out_matrix_width_ntile=2)'; 'sliding_window_config': 'SlidingWindowConfig(batch_size=16; input_hw=(115;115); window_hw=(4;4); stride_hw=(1;1); pad_hw=(0;0); dilation_hw=(1;1); num_cores_nhw=64; num_cores_c=1; core_range_set_={[(x=0;y=0) - (x=7;y=7)]})'; 'untilize_out': 'false'; 'use_shallow_conv_variant': 'true'},LoFi,64,,8978663022,9571673833,593010811,11812509514738,11812509691748,781312449,236644,234551,173379,175341,173810,1198,234549,204432,234175,234060,234360,,,,1,1,228160,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,1,1,256,64,TILE,BFLOAT8_B,DEV_0_DRAM_INTERLEAVED,1,1,32,64,TILE,BFLOAT8_B,DEV_0_DRAM_INTERLEAVED,1,1,200704,64,TILE,BFLOAT8_B,DEV_0_L1_HEIGHT_SHARDED,,,['ttnn/cpp/ttnn/operations/conv/conv2d/device/kernels/conv_bmm_tilize_col_major_out_blocks.cpp'],['conv_bmm_tilize_col_major_out_blocks/17766401106290623555/'],['ttnn/cpp/ttnn/operations/conv/conv2d/device/kernels/reader_writer_tiled_out_1d_mcast_sender_conv_weights_tiled_col_to_rm_blocks.cpp'; 'ttnn/cpp/ttnn/operations/conv/conv2d/device/kernels/reader_writer_tiled_out_1d_mcast_receiver_conv_weights_tiled_col_to_rm_blocks.cpp'; 'ttnn/cpp/ttnn/operations/conv/conv2d/device/kernels/reader_conv_activations_padded_with_halo_3x3_weights_v2.cpp'],['reader_writer_tiled_out_1d_mcast_sender_conv_weights_tiled_col_to_rm_blocks/10082350166703326734/'; 'reader_writer_tiled_out_1d_mcast_receiver_conv_weights_tiled_col_to_rm_blocks/16373193054214220834/'; 'reader_conv_activations_padded_with_halo_3x3_weights_v2/931771139735993816/'],2164,944,3460,1984,4080,0,25088,25088,59,[291.0204162597656; 0.6530612111091614],[512.0],584463658,346527
HaloDeviceOperation,tt_dnn_device,10,0,{'config_': 'SlidingWindowConfig(batch_size=16; input_hw=(112;112); window_hw=(3;3); stride_hw=(2;2); pad_hw=(1;1); dilation_hw=(1;1); num_cores_nhw=64; num_cores_c=1; core_range_set_={[(x=0;y=0) - (x=7;y=7)]})'; 'is_out_tiled_': 'false'; 'max_out_nsticks_per_core_': '3305'; 'output_memory_config_': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={3136; 64};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_val_': '65408'; 'parallel_config_': 'ParallelConfig(grid={[(x=0;y=0) - (x=7;y=7)]}; shard_scheme=HEIGHT_SHARDED; shard_orientation=ROW_MAJOR)'; 'remote_read_': 'false'; 'reshard_num_cores_nhw_': '0'; 'transpose_mcast_': 'false'},HiFi4,64,,9572607865,10064069389,491461524,11812994935912,11812994965757,648723218,39900,38811,28618,28953,28762,1016,38066,25040,20215,20689,20909,,,,1,1,200704,64,TILE,BFLOAT8_B,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,1,1,211520,64,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/compute/pack_untilize.cpp'],['pack_untilize/7300883904186965843/'],['ttnn/cpp/ttnn/operations/data_movement/untilize_with_halo_v2/device/kernels/dataflow/halo_gather.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/untilize_with_halo_v2/device/kernels/dataflow/halo_gather.cpp'],['halo_gather/18442703472783431333/'; 'halo_gather/4322203078491615469/'],1048,1332,1096,680,2056,0,1,1,1,[12845056.0],[27074560.0],470042190,198284
